epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1387.01,2.19565,3.78535,2.13819,0,0,0,0,0,0,0,0.000237529,0.000237529,0.000237529
2,2621.94,2.12683,3.23042,2.07038,0,0,0,0,0,0,0,0.000459836,0.000459836,0.000459836
3,4539.41,2.07051,3.09989,2.00413,0,0,0,0,0,0,0,0.000666436,0.000666436,0.000666436
4,5793.93,2.07492,3.05965,1.96912,0,0,0,0,0,0,0,0.000643314,0.000643314,0.000643314
5,7217.77,2.04862,2.99622,1.92741,0,0,0,0,0,0,0,0.000619752,0.000619752,0.000619752
6,8594.43,2.00572,2.91386,1.88426,0,0,0,0,0,0,0,0.00059619,0.00059619,0.00059619
7,9952.4,1.96165,2.83624,1.84761,0,0,0,0,0,0,0,0.000572628,0.000572628,0.000572628
8,11318.9,1.93148,2.768,1.81947,0,0,0,0,0,0,0,0.000549066,0.000549066,0.000549066
9,12991,1.91653,2.73822,1.82737,0,0,0,0,0,0,0,0.000525504,0.000525504,0.000525504
10,14458.2,1.88574,2.69598,1.7827,0,0,0,0,0,0,0,0.000501942,0.000501942,0.000501942
11,16016.1,1.8743,2.63445,1.77327,0,0,0,0,0,0,0,0.00047838,0.00047838,0.00047838
12,17516.2,1.85297,2.59209,1.7692,0,0,0,0,0,0,0,0.000454818,0.000454818,0.000454818
13,18854.8,1.82312,2.51993,1.75488,0,0,0,0,0,0,0,0.000431256,0.000431256,0.000431256
14,19936.5,1.8228,2.48955,1.7384,0,0,0,0,0,0,0,0.000407694,0.000407694,0.000407694
15,21063.4,1.82713,2.49133,1.73277,0,0,0,0,0,0,0,0.000384132,0.000384132,0.000384132
16,22093.1,1.81207,2.45521,1.72953,0,0,0,0,0,0,0,0.00036057,0.00036057,0.00036057
17,23320.4,1.77083,2.40336,1.71064,0,0,0,0,0,0,0,0.000337008,0.000337008,0.000337008
18,24649.1,1.77085,2.36893,1.70332,0,0,0,0,0,0,0,0.000313446,0.000313446,0.000313446
19,25951.7,1.7633,2.3517,1.69292,0,0,0,0,0,0,0,0.000289884,0.000289884,0.000289884
20,27236.9,1.74943,2.3239,1.69089,0,0,0,0,0,0,0,0.000266322,0.000266322,0.000266322
21,28475.5,1.8032,2.31992,1.78207,0,0,0,0,0,0,0,0.00024276,0.00024276,0.00024276
22,29730.1,1.78946,2.30332,1.77144,0,0,0,0,0,0,0,0.000219198,0.000219198,0.000219198
23,30903.3,1.77968,2.22684,1.76992,0,0,0,0,0,0,0,0.000195636,0.000195636,0.000195636
24,32027.6,1.75786,2.17121,1.75345,0,0,0,0,0,0,0,0.000172074,0.000172074,0.000172074
25,33132.5,1.73326,2.13511,1.75284,0,0,0,0,0,0,0,0.000148512,0.000148512,0.000148512
26,34273.1,1.71288,2.10217,1.73247,0,0,0,0,0,0,0,0.00012495,0.00012495,0.00012495
27,35552.2,1.69276,2.07878,1.71192,0,0,0,0,0,0,0,0.000101388,0.000101388,0.000101388
28,36842.8,1.67236,2.01039,1.69313,0,0,0,0,0,0,0,7.7826e-05,7.7826e-05,7.7826e-05
29,38067.4,1.66469,1.99335,1.68813,0,0,0,0,0,0,0,5.4264e-05,5.4264e-05,5.4264e-05
